Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.15826318,292.46666666666664,-24.61310284713219,-24.61310284713219,1.0
20000,1.4184294,-0.3941632,265.1025641025641,-22.921499302983285,-22.921499302983285,1.0
30000,1.4191906,-0.92974687,252.57142857142858,-22.437560290825076,-22.437560290825076,1.0
40000,1.4208504,-1.2938195,259.1666666666667,-22.613610400093926,-22.613610400093926,1.0
50000,1.4212464,-1.6951271,299.7647058823529,-24.45371342386518,-24.45371342386518,1.0
60000,1.4218414,-1.9147956,328.86206896551727,-26.058964564882476,-26.058964564882476,1.0
70000,1.4247427,-2.1125555,312.42424242424244,-25.178749084472656,-25.178749084472656,1.0
80000,1.4259741,-2.3600638,334.037037037037,-26.09607043010848,-26.09607043010848,1.0
90000,1.4272343,-2.5309122,321.8125,-25.774686574935913,-25.774686574935913,1.0
100000,1.4279385,-2.8483188,317.14285714285717,-25.458213533673966,-25.458213533673966,1.0
110000,1.4295805,-3.0086803,461.2,-32.78849859237671,-32.78849859237671,1.0
120000,1.431275,-3.316107,556.0526315789474,-36.51315645481411,-36.51315645481411,1.0
130000,1.4332033,-3.56967,581.4285714285714,-38.983844426962044,-38.983844426962044,1.0
140000,1.4348086,-3.7842138,585.5882352941177,-36.987776236401665,-36.987776236401665,1.0
150000,1.4356673,-3.8927739,1320.4285714285713,-70.75713917187282,-70.75713917187282,1.0
160000,1.4355475,-4.038884,1168.7777777777778,-63.13888539208306,-63.13888539208306,1.0
170000,1.4342381,-4.1323595,1316.625,-69.24124610424042,-69.24124610424042,1.0
180000,1.4324212,-4.146907,1316.4444444444443,-69.41110722223918,-69.41110722223918,1.0
190000,1.4317253,-4.2306724,1022.8333333333334,-57.00666379928589,-57.00666379928589,1.0
200000,1.4315495,-4.3284707,1545.7142857142858,-79.45856680188861,-79.45856680188861,1.0
210000,1.4301643,-4.4133234,1596.1666666666667,-80.84499534964561,-80.84499534964561,1.0
220000,1.4283539,-4.459722,1530.142857142857,-77.97428112370628,-77.97428112370628,1.0
230000,1.4273005,-4.485791,1999.0,-98.59599404335022,-98.59599404335022,1.0
240000,1.4273179,-4.4830055,1958.8333333333333,-97.81499417622884,-97.81499417622884,1.0
